id,summary,tags
f001ec5c4704938247d27a44948eebb37ae98d01," The Palestinian Authority officially becomes the 123rd member of the International Criminal Court . The move gives the court jurisdiction over alleged crimes in Palestinian territories . Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body . The United States says it ""strongly"" disagreed with the court","court, palestinian, member, united, states, authority, officially, becomes"
230c522854991d053fe98a718b1defa077a8efef," Theia, a white-and-black bully breed mix, survived after being hit by a car and buried in a field . She was found four days later by a worker who took her to a vet for help . She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity .","theia, white, black, bully, breed, mix, survived, after"
4495ba8f3a340d97a9df1476f8a35502bcce1f69, Mohammad Javad Zarif has been U.S. Secretary of State John Kerry's opposite number in securing a breakthrough in nuclear discussions . He has gone a long way to bring Iran in from the cold and allow it to rejoin the international community . But there are some facts about Zarif that are less well-known .,"zarif, mohammad, javad, been, secretary, state, john, kerry's"
a38e72fed88684ec8d60dd5856282e999dc8c0ca," One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area . They are clinicians for Partners in Health, a Boston-based aid group . They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus .","but, one, five, had, heart, related, issue, saturday"
c27cf1b136cc270023de959e7ab24638021bc43f," The student was identified during an investigation by campus police and the office of student affairs . The private school didn't identify the student, citing federal privacy laws . The student is no longer on campus and will face student conduct review, the university says . The incident is one of several recent racist events to affect college students .","student, campus, identified, during, investigation, police, office, affairs"
1b2cc634e2bfc6f2595260e7ed9b42f77ecbb0ce," Trey Moses asked Ellie Meredith to be his prom date in the gym during her P.E. class . Ellie has Down syndrome and has struggled with friendships since elementary school . Trey's future coach says he felt great about the prom-posal, noting that Trey often works with other kids .","trey, ellie, prom, moses, asked, meredith, his, date"
e2706dce6cf26bc61b082438188fdb6e130d9e40," At least 607 people were executed around the world in 2014, compared to 778 in 2013 . The number of executions worldwide has gone down by almost 22% on the previous year . At least 2,466 people globally are confirmed to have been handed the sentence last year, an increase of 28% compared with 2013 .","least, people, compared, 2013, year, 607, executed, around"
0d3c8c276d079c4c225f034c69aa024cdab7869d," The coroner's preliminary assessment is there was no foul play involved in the death of Andrew Getty, police say . The 47-year-old was found on his side near a bathroom in his home, KTLA reports . His parents, Ann and Gordon Getty, released a statement confirming their son's death .","his, death, getty, coroner's, preliminary, assessment, there, foul"
6222f33c2c79b80be437335eeb3f488509e92cf5, Maysak is now classified as a tropical storm . It's expected to make landfall Sunday morning on the southeastern coast of Isabela province and be out of the Philippines by Monday . The storm is centered 200 miles southwest of Aurora province as of 5 p.m. (5 a.M. ET),"storm, province, maysak, now, classified, tropical, it's, expected"
2bd8ada1de6a7b02f59430cc82045eb8d29cf033,"Bob Barker hosted the TV game show for 35 years before stepping down in 2007 . He handled the first price-guessing game of the show, the classic ""Lucky Seven"" The 91-year-old didn't seem to miss a beat on the April 1 edition of ""The Price Is Right""","game, show, price, bob, barker, hosted, years, before"
ee17dfb574feca82ccac5689595e47483bd23f12," Yahya Rashid, a UK national from northwest London, was detained at Luton airport on Tuesday . He's been charged with engaging in conduct in preparation of acts of terrorism, and with the intention of assisting others to commit terrorism . Both charges relate to the period between November 1 and March 31 .","terrorism, yahya, rashid, national, northwest, london, detained, luton"
384175be1c8d41610fbeddbd9d9cb46e716e2529," The release of ""Furious 7"" on Friday offers the opportunity for fans to remember Paul Walker . ""He was a person of humility, integrity, and compassion,"" military veteran Kyle Upham says . Walker secretly paid for the engagement ring he shopped for with his bride .","walker, release, furious, friday, offers, opportunity, fans, remember"
203886369feea77bbc35715e6d7e518b751f57de," Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial . They concluded that Anne and Margot Frank probably did not survive to March 1945 -- contradicting the date of death which had previously been determined by Dutch authorities .","researchers, examined, archives, red, cross, international, training, service"
1dd00c89d71a5611797bb34da8a6eada8f058405, Mike Pence signed a religious freedom law last week that opens the door to discrimination against gays and lesbians . Julian Zelizer: Pence has scored a lot of points this week among ultraconservatives . He says the issue of LGBT rights will turn numerous Americans into single-issue voters .,"pence, week, issue, mike, signed, religious, freedom, law"
eeafdc8b2d8130cabda5aafe352eab1198d0b9f8," Mötley Crüe's Vince Neil reminded us again this week of the dangers of tackling ""The Star-Spangled Banner"" The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV . In the early stages of the Gulf War in 1991, a patriotic America saluted her performance .","tley, e's, vince, neil, reminded, again, week, dangers"
dc833f8b55e381011ce23f89ea909b9a141b5a66," Walmart is emerging as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals . Former Minnesota Gov. Tim Pawlenty says Walmart's actions ""foreshadow where the Republican Party will need to move"" The backlash over religious freedom measures in Indiana and Arkansas this week is shining a bright light on the broader business community","walmart, emerging, bellwether, shifting, public, opinion, hot, button"
c222979bd1cfbc7d3ff821e9c738e3dbd29b14f4," Amnesty International releases its annual review of the death penalty worldwide . The number of executions recorded around the world dropped significantly in 2014 compared with the previous year . In Indonesia, authorities announced plans to execute mainly drug traffickers to tackle a public safety ""national emergency"" The Americas continued to be execution-free, apart from the United States .","amnesty, international, releases, annual, review, death, penalty, worldwide"
469c6ac05092ca5997728c9dfc19f9ab6b936e40, French prosecutor says he is not aware of any video footage from the crash site . German airline Lufthansa confirms co-pilot Andreas Lubitz had battled depression years before he took the controls of Germanwings Flight 9525 . All 150 on board were killed in the crash in the French Alps .,"french, crash, prosecutor, says, not, aware, any, video"
88e7dac40f3e6c159e4edc0747d0cc0f50886fbb," The Rev. Robert H. Schuller had been diagnosed with esophageal cancer in August 2013 . He was the founder of the television ministry ""Hour of Power"" He was born in a Iowa farmhouse without running water and longed to preach from his earliest days . His life followed an almost Shakespearean arc .","his, rev, robert, schuller, had, been, diagnosed, esophageal"
ec4b5fef725b4cc81545689603ff84c8e19bd6dc,"Michele Bachmann compares President Obama to Andreas Lubitz, the co-pilot of the doomed Germanwings flight . ""With his Iran deal, Barack Obama is for the 300 million souls of the United States,"" she wrote in a Facebook comment . Bachmann is no stranger to voicing her opinion on the President's dealing","bachmann, obama, michele, compares, president, andreas, lubitz, pilot"
ffff11a2f44d731cd80c86819a89b7e227581415," Louis Jordan, 37, had been drifting on the 35-foot Pearson sailboat for more than two months . A storm capsized his boat and broke his mast, so he couldn't fix it right away . After his food and water ran out, it became an issue of survival .","his, louis, jordan, had, been, drifting, foot, pearson"
c7caf9181c2e94a79d9102da6e11cde48c880aa5, The U.S. and its negotiating partners reached a framework agreement with Iran on Thursday that limits Iran's nuclear program in such a way as to effectively block it from building a nuclear weapon . Peter Bergen: The debate that has already begun since the announcement of the new framework will likely result in more heat than light .,"framework, nuclear, negotiating, partners, reached, agreement, iran, thursday"
b21cd549314996de79ba0ca2636c8ced66468267," California is a breadbasket to the nation, growing more than a third of its vegetables and nearly two-thirds of its fruits and nuts . In 2014, one expert predicted consumers would pay more for some groceries because of the California drought . Overall prices are expected to rise this year because of inflation, U.S.","california, more, because, breadbasket, nation, growing, than, third"
17412737648b2cad59669560765fcb5169fc8116,"Keonna Thomas, 30, is one of three women arrested this week on terror charges . She was charged with knowingly attempting to provide material support and resources to a designated foreign terrorist organization . The FBI says Thomas purchased an electronic visa to Turkey on March 23 . She could be sentenced to 15 years in prison .","thomas, keonna, one, three, women, arrested, week, terror"
970f75d6e5b23e11c15b05c59a109ccbb160b289, Iranian authorities imposed the ban on women attending men's sports events after the Islamic Revolution in 1979 . The ban was reinstated in 2005 after the more hard-line Mahmoud Ahmadinejad came to power . Iran had been in the running to host the 2019 edition of soccer's Asian Cup .,"ban, after, iranian, authorities, imposed, women, attending, men's"
9f051fe922a8f45b315a366a5af1aab58d93f050,"Online activity has become the path of least resistance if you want to make yourself heard . But it is not just the low cost of posting online that attracts dissidence, though that in itself is liberating . It is the lack of access to traditional print and broadcast media in authoritarian countries that is really the driving force leading disaffected voices","online, activity, become, path, least, resistance, you, want"
202a51397a4de6483e6a7427d1952c46fca69d81," Avril Lavigne says she was bedridden for five months after contracting Lyme disease . The singer says being ill was a ""wake-up call"" that has given her a new perspective . Lavigne is releasing a new single this month to support the 2015 Special Olympics .","lavigne, says, new, avril, bedridden, five, months, after"
2f6106809de41d59f422d527900a6b344174c5b2," Mike Tyson lived in a gaudy, abandoned mansion in Southington, Ohio, in the 1980s and '90s . The home featured an indoor swimming pool, a marble-and-gold Jacuzzi (with mirrored ceiling, naturally) and an entertainment room large enough for small concerts .","mike, tyson, lived, gaudy, abandoned, mansion, southington, ohio"
9a2ffa6ad643d52e6b99b0b08e497f41ba23b2b2,"Israeli Prime Minister Benjamin Netanyahu says he sees better options than ""this bad deal or war"" He says Iran is a country of ""congenital cheating"" and that it can't be trusted to abide by the terms of the deal . Sen. Lindsey Graham says the best option for the U.S. is to keep current sanctions","says, deal, israeli, prime, minister, benjamin, netanyahu, sees"
f78024d271fd21f0667f5da6843516314af71f8f," Memories Pizza in Walkerton, Indiana, is at the center of the debate over the state's Religious Freedom Restoration Act . The restaurant's owners said they'd refuse to cater a same-sex couple's wedding . Critics said the new law would allow businesses to discriminate against gays and lesbians . Supporters rallied to a GoFundMe page","said, memories, pizza, walkerton, indiana, center, debate, over"
63e19d477469e39e3fc4143919e6a5acb58dbc23," Police in Malegaon, in the western state of Maharashtra, have asked residents to take a 'mugshot' of their cattle and submit it to the police . Police officials believe this is the only way to solve cow slaughter cases and enforce the law . Cows are considered holy and revered by that state's majority Hindu population .","police, malegaon, western, state, maharashtra, asked, residents, take"
cf7094270cbb4c8fad5029bd2c2da694f1411870," A man says he set off on his 35-foot sailboat from South Carolina in late January . He says his boat capsize, its mast broke, and so, too, did his shoulder . He and his partner, 23-year-old Ezequiel Cordova, died because he refused to eat raw birds .","his, says, man, set, off, foot, sailboat, south"
934a2d9235022c9e8a6aeec5e7e941b127569b76," The Large Hadron Collider (LHC) is ready for action following a two-year shutdown . The LHC generates up to 600 million particles per second, with a beam circulating for 10 hours . It took thousands of scientists, engineers and technicians decades to devise and build the particle accelerator .","lhc, large, hadron, collider, ready, action, following, two"
82461522ee90f8f5be2ec226e2016ad40588866d," Kevone Charleston, 36, is suspected of 32 commercial robberies dating to November 2013 . FBI agents and task force officers were following him as he pulled into a CVS pharmacy in Forsyth County, Georgia, early Saturday . When agents confronted him, Charleston ran, got in his car and traveled 75 yards as agents opened fire .","agents, charleston, him, kevone, suspected, commercial, robberies, dating"
37477ed1fc065f438021ee3b6d3e2b827e270353," The total eclipse will only last four minutes and 43 seconds . It started at 3:16 a.m. Pacific Daylight Time, when the moon began moving into Earth's shadow . At least a partial eclipse will be visible across the nation, but sunrise will interrupt the show on the East Coast .","eclipse, total, only, last, four, minutes, seconds, started"
4fbf675fb79046440d1cf01dd4fc2e505f2b5169," Al-Shabaab has claimed an attack on Garissa University College in eastern Kenya . The attack is another step in the ongoing escalation of the terrorist group's activities, says Peter Bergen . Bergen: The presence and activities of terrorist groups in the region is a major concern .","attack, terrorist, activities, bergen, shabaab, claimed, garissa, university"
c5390093fa60d62c4dc9013977ca09a8edf7c32b,"Easter is a cornerstone event in the Christian faith, but it's surrounded by interesting quirks . Like Christmas, it doesn't fall on the same day every year but shifts around in spring depending upon cosmic events . A blood moon appeared in the sky early Saturday, right between Good Friday and Easter Sunday and Passover .","easter, but, cornerstone, event, christian, faith, it's, surrounded"
58b9fcb9a3537d014d3499b0ad4d4123cfd3eac0," The NCAA says it has no legal responsibility to ensure the academic integrity of its student-athletes . The lawsuit was filed by former University of North Carolina athletes who were caught up in the largest known academic fraud scandal in NCAA history . ""It's nonsense. It's nonsense,"" says a former athletic-academic director who is now","academic, ncaa, says, athletes, former, who, it's, nonsense"
44d681105bcab063dfa0c80ce9cf96393677f9cc, A Connecticut juvenile court judge denies a motion to let Cassandra C. go home . The 17-year-old is in remission after nearly six months of forced chemo treatments . She was diagnosed with Hodgkin lymphoma in September and doctors gave her an 85% chance of survival .,"connecticut, juvenile, court, judge, denies, motion, let, cassandra"
a43893ac704663476a285673392de84c0c17d4e5," ""Uptown Funk!"" is the longest-leading Billboard Hot 100 of the 2010s, ruling the chart for a 13th week . It's just the 10th single in the Hot 100's entire history to spend at least 13 weeks at No. 1 . ""Funk!"" passes Robin Thicke's ""Blurred Lines","funk, hot, uptown, longest, leading, billboard, 100, 2010s"
f7c2eb465479b965669b81535234e24735915ebf, The temperature was recorded at Argentina's Esperanza Base on the northern tip of the Antarctica Peninsula . The World Meteorological Organization is in the process of setting up an international ad-hoc committee of about 10 blue-ribbon climatologists and meteorologists . The committee will examine the equipment used to measure the temperature .,"temperature, committee, recorded, argentina's, esperanza, base, northern, tip"
e8c90d557031700caa1afb66dfc85358ef719108," Indiana's new Religious Freedom Restoration Act faces a firestorm from critics who say it uses faith as a pretext to discriminate against gay people . Such state laws have been growing ever since the federal law became law in 1993 . So far, 20 states have some version of the religious liberty law, and the legal controversies have grown, too","law, religious, indiana's, new, freedom, restoration, act, faces"
c71b08cede3b6edb662a2f2c95f8b543fa65e405,"Robert Lewis Burns Jr. was the original drummer in Southern rock band Lynyrd Skynyrd . He died after his car hit a mailbox and a tree in Cartersville, Georgia . No other cars were involved in the crash, which occurred shortly before midnight .","robert, lewis, burns, original, drummer, southern, rock, band"
f9f5d81bc74d6cf6d713d6fa6be4a30427b46e68, Kim Ki-Jong has also been charged with assaulting a foreign envoy and business obstruction . Lippert was stabbed March 5 during an event organized by the Korean Council for Reconciliation and Cooperation . He suffered a gash from his right cheekbone to his lower jaw that required 80 stitches .,"his, kim, jong, also, been, charged, assaulting, foreign"
32a7125a655a052b3ea62350a8e02f0245cc220e," Rurik Jutting, 29, is charged with two counts of murder in Hong Kong . A court hearing to determine whether there was enough evidence to proceed to trial was adjourned until May . The victims' bodies were buried after being repatriated to Indonesia in November .","rurik, jutting, charged, two, counts, murder, hong, kong"
38a207accfb31afc694f16531d23d2cda79ac85d," Thai Smile, a subsidiary of Thailand flag carrier Thai Airways, unveiled colorful new livery on Thursday . The inaugural flight takes place on April 4, heading from Bangkok to Phuket . The interior of the plane also has an Adventure Time theme, with overhead bins, head rests and even air sickness bags covered in the faces of","thai, smile, subsidiary, thailand, flag, carrier, airways, unveiled"
9bea5cbe9a0184eec4086a08452066dead185173," Manning is serving a 35-year prison sentence for leaking thousands of classified documents . The former Army intelligence analyst was convicted of stealing and disseminating 750,000 pages of documents and videos to WikiLeaks . She was sentenced in 2013, and in August of that year, she said she wanted to transition to a female .","year, documents, manning, serving, prison, sentence, leaking, thousands"
a2ee2faeb2dc4e5eab43b1d14233c4ac658f0a8f,"President Obama tied himself to the mast of a nuclear deal with Iran even before he became the Democratic candidate for president . Frida Ghitis: The process has unfolded under the destructive influence of political considerations, weakening America's hand and strengthening Iran . She says Obama has a huge political stake in these negotiations; few believe he has a credible Plan B .","president, obama, iran, political, tied, himself, mast, nuclear"
fd0e8622b9ee38d1d6fff2fff59f0566f1a2f8f7," ""Furious 7"" is getting the widest release in Universal's history . It will be playing in 4,003 theaters by Good Friday . It's the largest opening in North America since fall 2013 . It has booked more than 10,500 screens in 63 territories, although it won't open in China, Japan and Russia until","furious, getting, widest, release, universal's, history, playing, 003"
6302a6cf8564e4bb4753e2dc3dae328f13edae50," Deion Sanders Jr. is a wide receiver at Southern Methodist University, an aspiring entrepreneur and occasional rapper . His Twitter timeline is a mix of biblical verses, motivational quotes and references to sports, cars, school and Balenciaga shoes . He has gone on record with his love for ""hood doughnuts,"" or confect","his, deion, sanders, wide, receiver, southern, methodist, university"
