review_id,example_id,model_name,article_excerpt,reference_summary,prediction,missing_key_fact,hallucination,entity_error,repetition,over_compression,notes
1,f001ec5c4704938247d27a44948eebb37ae98d01,sshleifer/distilbart-cnn-6-6,"(CNN)The Palestinian Authority officially became the 123rd member of the International Criminal Court on Wednesday, a step that gives the court jurisdiction over alleged crimes in Palestinian territories. The formal accession was marked with a ceremony at The Hague, in the Netherlands, where the court is based. The Palestinians signed the ICC's founding Rome Statute in January, when they also accepted its jurisdiction over alleged crimes committed ""in the occupied Palestinian territory, including East Jerusalem, since June 13, 2014."" Later that month, the ICC opened a preliminary examination into the situation in Palestinian territories, paving the way for possible war crimes investigations against Israelis. As members of the court, Palestinians may be subject to counter-charges as well. Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts...","Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June . Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .","The Palestinian Authority officially becomes the 123rd member of the International Criminal Court . The move gives the court jurisdiction over alleged crimes in Palestinian territories . Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body . The United States says it ""strongly"" disagreed with the court",,,,,,
2,230c522854991d053fe98a718b1defa077a8efef,sshleifer/distilbart-cnn-6-6,"(CNN)Never mind cats having nine lives. A stray pooch in Washington State has used up at least three of her own after being hit by a car, apparently whacked on the head with a hammer in a misguided mercy killing and then buried in a field -- only to survive. That's according to Washington State University, where the dog -- a friendly white-and-black bully breed mix now named Theia -- has been receiving care at the Veterinary Teaching Hospital. Four days after her apparent death, the dog managed to stagger to a nearby farm, dirt-covered and emaciated, where she was found by a worker who took her to a vet for help. She was taken in by Moses Lake, Washington, resident Sara Mellado. ""Considering everything that she's been through, she's incredibly gentle and loving,"" Mellado said, according to WSU News. ""She's a true miracle dog and she deserves a good life."" Theia is only one year old bu...","Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field . ""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","Theia, a white-and-black bully breed mix, survived after being hit by a car and buried in a field . She was found four days later by a worker who took her to a vet for help . She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity .",,,,,,
3,4495ba8f3a340d97a9df1476f8a35502bcce1f69,sshleifer/distilbart-cnn-6-6,"(CNN)If you've been following the news lately, there are certain things you doubtless know about Mohammad Javad Zarif. He is, of course, the Iranian foreign minister. He has been U.S. Secretary of State John Kerry's opposite number in securing a breakthrough in nuclear discussions that could lead to an end to sanctions against Iran -- if the details can be worked out in the coming weeks. And he received a hero's welcome as he arrived in Iran on a sunny Friday morning. ""Long live Zarif,"" crowds chanted as his car rolled slowly down the packed street. You may well have read that he is ""polished"" and, unusually for one burdened with such weighty issues, ""jovial."" An Internet search for ""Mohammad Javad Zarif"" and ""jovial"" yields thousands of results. He certainly has gone a long way to bring Iran in from the cold and allow it to rejoin the international community. But there are some facts...",Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister . He once participated in a takeover of the Iranian Consulate in San Francisco . The Iranian foreign minister tweets in English .,Mohammad Javad Zarif has been U.S. Secretary of State John Kerry's opposite number in securing a breakthrough in nuclear discussions . He has gone a long way to bring Iran in from the cold and allow it to rejoin the international community . But there are some facts about Zarif that are less well-known .,,,,,,
4,a38e72fed88684ec8d60dd5856282e999dc8c0ca,sshleifer/distilbart-cnn-6-6,"(CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, hospital after being exposed to Ebola in West Africa have been released, a Nebraska Medicine spokesman said in an email Wednesday. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area, Taylor Wilson wrote. The others have already gone home. They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. They all had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of Health in Bethesda, Maryland. As of Monday, that health care worker is in fair condition. The Centers for Disease Control and Prevention in Atlanta has said the last of 17 patients who were being monitored are expected to be released by Thursda...",17 Americans were exposed to the Ebola virus while in Sierra Leone in March . Another person was diagnosed with the disease and taken to hospital in Maryland . National Institutes of Health says the patient is in fair condition after weeks of treatment .,"One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area . They are clinicians for Partners in Health, a Boston-based aid group . They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus .",,,,,,
5,c27cf1b136cc270023de959e7ab24638021bc43f,sshleifer/distilbart-cnn-6-6,"(CNN)A Duke student has admitted to hanging a noose made of rope from a tree near a student union, university officials said Thursday. The prestigious private school didn't identify the student, citing federal privacy laws. In a news release, it said the student was no longer on campus and will face student conduct review. The student was identified during an investigation by campus police and the office of student affairs and admitted to placing the noose on the tree early Wednesday, the university said. Officials are still trying to determine if other people were involved. Criminal investigations into the incident are ongoing as well. Students and faculty members marched Wednesday afternoon chanting ""We are not afraid. We stand together,"" after pictures of the noose were passed around on social media. At a forum held on the steps of Duke Chapel, close to where the noose was discover...","Student is no longer on Duke University campus and will face disciplinary review . School officials identified student during investigation and the person admitted to hanging the noose, Duke says . The noose, made of rope, was discovered on campus about 2 a.m.","The student was identified during an investigation by campus police and the office of student affairs . The private school didn't identify the student, citing federal privacy laws . The student is no longer on campus and will face student conduct review, the university says . The incident is one of several recent racist events to affect college students .",,,,,,
6,1b2cc634e2bfc6f2595260e7ed9b42f77ecbb0ce,sshleifer/distilbart-cnn-6-6,"(CNN)He's a blue chip college basketball recruit. She's a high school freshman with Down syndrome. At first glance Trey Moses and Ellie Meredith couldn't be more different. But all that changed Thursday when Trey asked Ellie to be his prom date. Trey -- a star on Eastern High School's basketball team in Louisville, Kentucky, who's headed to play college ball next year at Ball State -- was originally going to take his girlfriend to Eastern's prom. So why is he taking Ellie instead? ""She's great... she listens and she's easy to talk to"" he said. Trey made the prom-posal (yes, that's what they are calling invites to prom these days) in the gym during Ellie's P.E. class. Trina Helson, a teacher at Eastern, alerted the school's newspaper staff to the prom-posal and posted photos of Trey and Ellie on Twitter that have gone viral. She wasn't surpristed by Trey's actions. ""That's the kind of...","College-bound basketball star asks girl with Down syndrome to high school prom . Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses asked Ellie Meredith to be his prom date in the gym during her P.E. class . Ellie has Down syndrome and has struggled with friendships since elementary school . Trey's future coach says he felt great about the prom-posal, noting that Trey often works with other kids .",,,,,,
7,e2706dce6cf26bc61b082438188fdb6e130d9e40,sshleifer/distilbart-cnn-6-6,"(CNN)Governments around the world are using the threat of terrorism -- real or perceived -- to advance executions, Amnesty International alleges in its annual report on the death penalty. ""The dark trend of governments using the death penalty in a futile attempt to tackle real or imaginary threats to state security and public safety was stark last year,"" said Salil Shetty, Amnesty's Secretary General in a release. ""It is shameful that so many states around the world are essentially playing with people's lives -- putting people to death for 'terrorism' or to quell internal instability on the ill-conceived premise of deterrence."" The report, ""Death Sentences and Executions 2014,"" cites the example of Pakistan lifting a six-year moratorium on the execution of civilians following the horrific attack on a school in Peshawar in December. China is also mentioned, as having used the death pen...","Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death . Organization claims that governments around the world are using the threat of terrorism to advance executions . The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","At least 607 people were executed around the world in 2014, compared to 778 in 2013 . The number of executions worldwide has gone down by almost 22% on the previous year . At least 2,466 people globally are confirmed to have been handed the sentence last year, an increase of 28% compared with 2013 .",,,,,,
8,0d3c8c276d079c4c225f034c69aa024cdab7869d,sshleifer/distilbart-cnn-6-6,"(CNN)Andrew Getty, one of the heirs to billions of oil money, appears to have died of natural causes, a Los Angeles Police Department spokesman said. The coroner's preliminary assessment is there was no foul play involved in the death of Getty, grandson of oil tycoon J. Paul Getty, said Detective Meghan Aguilar. Andrew Getty, 47, had ""several health issues,"" Aguilar said, adding that an autopsy will be conducted. There is no criminal investigation underway, he said. Some medication had also been recovered from Getty's home, though investigators don't know whether Getty was taking it or what his medical history was, Ed Winter, assistant chief in the Los Angeles County coroner's office, told CNN affiliate KTLA Tuesday night. KTLA reported that Getty was found on his side near a bathroom in his home. Getty's parents, Ann and Gordon Getty, released a statement confirming their son's death...","Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment . In a petition for a restraining order, Getty had written he had a serious medical condition. Police say this is not a criminal matter at this time .","The coroner's preliminary assessment is there was no foul play involved in the death of Andrew Getty, police say . The 47-year-old was found on his side near a bathroom in his home, KTLA reports . His parents, Ann and Gordon Getty, released a statement confirming their son's death .",,,,,,
9,6222f33c2c79b80be437335eeb3f488509e92cf5,sshleifer/distilbart-cnn-6-6,"(CNN)Filipinos are being warned to be on guard for flash floods and landslides as tropical storm Maysak approached the Asian island nation Saturday. Just a few days ago, Maysak gained super typhoon status thanks to its sustained 150 mph winds. It has since lost a lot of steam as it has spun west in the Pacific Ocean. It's now classified as a tropical storm, according to the Philippine national weather service, which calls it a different name, Chedeng. It boasts steady winds of more than 70 mph (115 kph) and gusts up to 90 mph as of 5 p.m. (5 a.m. ET) Saturday. Still, that doesn't mean Maysak won't pack a wallop. Authorities took preemptive steps to keep people safe such as barring outdoor activities like swimming, surfing, diving and boating in some locales, as well as a number of precautionary evacuations. Gabriel Llave, a disaster official, told PNA that tourists who arrive Saturday...","Once a super typhoon, Maysak is now a tropical storm with 70 mph winds . It could still cause flooding, landslides and other problems in the Philippines .",Maysak is now classified as a tropical storm . It's expected to make landfall Sunday morning on the southeastern coast of Isabela province and be out of the Philippines by Monday . The storm is centered 200 miles southwest of Aurora province as of 5 p.m. (5 a.M. ET),,,,,,
10,2bd8ada1de6a7b02f59430cc82045eb8d29cf033,sshleifer/distilbart-cnn-6-6,"(CNN)For the first time in eight years, a TV legend returned to doing what he does best. Contestants told to ""come on down!"" on the April 1 edition of ""The Price Is Right"" encountered not host Drew Carey but another familiar face in charge of the proceedings. Instead, there was Bob Barker, who hosted the TV game show for 35 years before stepping down in 2007. Looking spry at 91, Barker handled the first price-guessing game of the show, the classic ""Lucky Seven,"" before turning hosting duties over to Carey, who finished up. Despite being away from the show for most of the past eight years, Barker didn't seem to miss a beat.","Bob Barker returned to host ""The Price Is Right"" on Wednesday . Barker, 91, had retired as host in 2007 .","Bob Barker hosted the TV game show for 35 years before stepping down in 2007 . He handled the first price-guessing game of the show, the classic ""Lucky Seven"" The 91-year-old didn't seem to miss a beat on the April 1 edition of ""The Price Is Right""",,,,,,
11,ee17dfb574feca82ccac5689595e47483bd23f12,sshleifer/distilbart-cnn-6-6,"London (CNN)A 19-year-old man was charged Wednesday with terror offenses after he was arrested as he returned to Britain from Turkey, London's Metropolitan Police said. Yahya Rashid, a UK national from northwest London, was detained at Luton airport on Tuesday after he arrived on a flight from Istanbul, police said. He's been charged with engaging in conduct in preparation of acts of terrorism, and with engaging in conduct with the intention of assisting others to commit acts of terrorism. Both charges relate to the period between November 1 and March 31. Rashid is due to appear in Westminster Magistrates' Court on Wednesday, police said. CNN's Lindsay Isaac contributed to this report.",London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul . He's been charged with terror offenses allegedly committed since the start of November .,"Yahya Rashid, a UK national from northwest London, was detained at Luton airport on Tuesday . He's been charged with engaging in conduct in preparation of acts of terrorism, and with the intention of assisting others to commit terrorism . Both charges relate to the period between November 1 and March 31 .",,,,,,
12,384175be1c8d41610fbeddbd9d9cb46e716e2529,sshleifer/distilbart-cnn-6-6,"(CNN)Paul Walker is hardly the first actor to die during a production. But Walker's death in November 2013 at the age of 40 after a car crash was especially eerie given his rise to fame in the ""Fast and Furious"" film franchise. The release of ""Furious 7"" on Friday offers the opportunity for fans to remember -- and possibly grieve again -- the man that so many have praised as one of the nicest guys in Hollywood. ""He was a person of humility, integrity, and compassion,"" military veteran Kyle Upham said in an email to CNN. Walker secretly paid for the engagement ring Upham shopped for with his bride. ""We didn't know him personally but this was apparent in the short time we spent with him. I know that we will never forget him and he will always be someone very special to us,"" said Upham. The actor was on break from filming ""Furious 7"" at the time of the fiery accident, which also claimed...","""Furious 7"" pays tribute to star Paul Walker, who died during filming . Vin Diesel: ""This movie is more than a movie"" ""Furious 7"" opens Friday .","The release of ""Furious 7"" on Friday offers the opportunity for fans to remember Paul Walker . ""He was a person of humility, integrity, and compassion,"" military veteran Kyle Upham says . Walker secretly paid for the engagement ring he shopped for with his bride .",,,,,,
13,203886369feea77bbc35715e6d7e518b751f57de,sshleifer/distilbart-cnn-6-6,"(CNN)Seventy years ago, Anne Frank died of typhus in a Nazi concentration camp at the age of 15. Just two weeks after her supposed death on March 31, 1945, the Bergen-Belsen concentration camp where she had been imprisoned was liberated -- timing that showed how close the Jewish diarist had been to surviving the Holocaust. But new research released by the Anne Frank House shows that Anne and her older sister, Margot Frank, died at least a month earlier than previously thought. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial, along with testimonies of survivors. They concluded that Anne and Margot probably did not survive to March 1945 -- contradicting the date of death which had previously been determined by Dutch authorities. In 1944, Anne and seven others hiding in the Amsterdam secret annex were arrested and sent...",Museum: Anne Frank died earlier than previously believed . Researchers re-examined archives and testimonies of survivors . Anne and older sister Margot Frank are believed to have died in February 1945 .,"Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial . They concluded that Anne and Margot Frank probably did not survive to March 1945 -- contradicting the date of death which had previously been determined by Dutch authorities .",,,,,,
14,1dd00c89d71a5611797bb34da8a6eada8f058405,sshleifer/distilbart-cnn-6-6,"(CNN)A year ago Bloomberg published a story with the following headline: Mike Pence, a Koch Favorite, Mulls 2016 Run for President. The story ticked off items on Pence's conservative things-to-do list while also noting his close ties to the deep-pocketed Koch brothers, as well as other right-wing lobbying groups. Last August the Indiana governor was in Dallas for an Americans for Prosperity event; the group is backed by the conservative Koch brothers, and supported Gov. Pence's tax-slashing budget. Now, Pence is drawing huge heat for his controversial decision to sign a religious freedom law last week that opens the door to discrimination against gays and lesbians. Why would Pence ignore the pleas of Indiana's Chamber of Commerce as well as the Republican mayor of his state capital and sign such a bill? Because there's a very powerful wing of his party that wants a conservative as its...","LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 . Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says. Equality for LGBT has not yet ""won"" in America .",Mike Pence signed a religious freedom law last week that opens the door to discrimination against gays and lesbians . Julian Zelizer: Pence has scored a lot of points this week among ultraconservatives . He says the issue of LGBT rights will turn numerous Americans into single-issue voters .,,,,,,
15,eeafdc8b2d8130cabda5aafe352eab1198d0b9f8,sshleifer/distilbart-cnn-6-6,"(CNN)If you're famous and performing the American national anthem, be prepared to become a national hero or a national disgrace. Facts are facts. Just ask Vince, Whitney, Roseanne, Jimi and Michael. Mötley Crüe's Vince Neil reminded us again this week of the dangers of tackling ""The Star-Spangled Banner."" Sure, he can shred it on ""Girls, Girls, Girls"" and ""Dr. Feelgood,"" but this is a different story -- a completely different story. To say Neil butchered the song before the Las Vegas Outlaws Arena Football League game would be unkind to those in the profession. There's less carnage when butchers are done with their work. The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV. In the early stages of the Gulf War in 1991, a patriotic America saluted her performance. Just six months earlier, comedian Roseanne Barr may have established the low-water mar...",Singing the national anthem is a risky proposition . Whitney Houston nailed it; Roseanne Barr destroyed it .,"Mötley Crüe's Vince Neil reminded us again this week of the dangers of tackling ""The Star-Spangled Banner"" The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV . In the early stages of the Gulf War in 1991, a patriotic America saluted her performance .",,,,,,
16,dc833f8b55e381011ce23f89ea909b9a141b5a66,sshleifer/distilbart-cnn-6-6,"(CNN)As goes Walmart, so goes the nation? Everyone from Apple CEO Tim Cook to the head of the NCAA slammed religious freedom laws being considered in several states this week, warning that they would open the door to discrimination against gay and lesbian customers. But it was the opposition from Walmart, the ubiquitous retailer that dots the American landscape, that perhaps resonated most deeply, providing the latest evidence of growing support for gay rights in the heartland. Walmart's staunch criticism of a religious freedom law in its home state of Arkansas came after the company said in February it would boost pay for about 500,000 workers well above the federal minimum wage. Taken together, the company is emerging as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals. And some prominent Republicans are urging the party...","While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition . Walmart and other high-profile businesses are showing their support for gay and lesbian rights . Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies .","Walmart is emerging as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals . Former Minnesota Gov. Tim Pawlenty says Walmart's actions ""foreshadow where the Republican Party will need to move"" The backlash over religious freedom measures in Indiana and Arkansas this week is shining a bright light on the broader business community",,,,,,
